URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
http://cdm21057.contentdm.oclc.org/cdm/ref/collection/coll13/id/97832;Propositions sur la respiration des plantes, thèse de botanique . Suivi de : Anatomie comparée de l'appareil respiratoire, dans les animaux vertébrés, thèse d'anatomie comparée;monographies;LEREBOULLET, Dominique Auguste;;Strasbourg. Imprimerie de G. Silbermann, place Saint-Thomas, S. ¤ Bibliothèques de l'Université de Strasbourg;1838;Thèse de botanique et thèse d'anatomie comparée soutenues à Strasbourg en 1838;Botanique ¤ Zoologie;Bibliothèques de l'Université de Strasbourg;;domaine public;;;0.0;
http://cdm21057.contentdm.oclc.org/cdm/ref/collection/coll13/id/190985;Archives de flore. Journal de botanique;monographies;SCHULTZ, Friedrich Wilhelm;;Wissembourg (Bas-Rhin, France), chez le rédacteur. Deidesheim (Palatinat, Bavière), chez le docteur C.-H. Schultz, [1869] ¤ Bibliothèques de l'Université de Strasbourg;[1869];;Botanique;Bibliothèques de l'Université de Strasbourg;;domaine public;;;0.0;
http://cdm21057.contentdm.oclc.org/cdm/ref/collection/coll13/id/47957;Rapport sur les progrès de la botanique physiologique;monographies;DUCHARTRE, Pierre Etienne Simon;;Imprimerie nationale ¤ Bibliothèques de l'Université de Strasbourg;1868;;Botanique;Bibliothèques de l'Université de Strasbourg;;domaine public;;;0.0;
http://cdm21057.contentdm.oclc.org/cdm/ref/collection/coll13/id/46473;Rapport sur les progrès de la botanique phytographique;monographies;BRONGNIART, Adolphe;;Imprimerie nationale ¤ Bibliothèques de l'Université de Strasbourg;1868;;Botanique;Bibliothèques de l'Université de Strasbourg;;domaine public;;;0.0;
http://cdm21057.contentdm.oclc.org/cdm/ref/collection/coll13/id/168242;Recherches sur la vie et les ouvrages de Pierre Richer de Belleval, Fondateur du jardin botanique donné par Henri IV à la faculté de médecine de Montpellier en 1593 , Pour servir à l'histoire de cette Faculté , & à celle de la Botanique;monographies;AMOREUX, Pierre-Joseph;;A Avignon, Chez Jean-Albert JOLY, Imprimeur-Libraire , près le Marché-Neuf ¤ Bibliothèques de l'Université de Strasbourg;1786;Notes manuscrites en début d'ouvrage;Botanique;Bibliothèques de l'Université de Strasbourg;;domaine public;;;0.0;
http://cdm21057.contentdm.oclc.org/cdm/ref/collection/coll13/id/155444;Prospectus de l'histoire des plantes de Dauphiné : et d'une nouvelle méthode de botanique , suivi d'un catalogue des plantes;monographies;VILLARS, Dominique;;A Grenoble, de l'Imprimerie Royale. MDCCLXXIX ¤ Bibliothèques de l'Université de Strasbourg;1779;;Botanique ¤ Dauphiné (France);Bibliothèques de l'Université de Strasbourg;;domaine public;;;0.0;
http://cdm21057.contentdm.oclc.org/cdm/ref/collection/coll13/id/126567;Archives de la flore d'Europe, recueil botanique (2). 1874;monographies;SCHULTZ, Friedrich Wilhelm;;Chez l'auteur, à Weissenburg en Alsace (Wissembourg). Septembre 1874l ¤ Bibliothèques de l'Université de Strasbourg;1874;;Botanique ¤ Europe;Bibliothèques de l'Université de Strasbourg;;domaine public;;;0.0;
http://cdm21057.contentdm.oclc.org/cdm/ref/collection/coll13/id/118451;Eloge historique de Pierre Richer de Belleval, instituteur du Jardin Royal de botanique de Montpellier;monographies;DORTHES, Jacques-Anselme;;A Montpellier, de l'Imprimerie de Jean Martel aîné, 1788 ¤ Bibliothèques de l'Université de Strasbourg;1788;Notes manuscrites d'Hermann;Botanique;Bibliothèques de l'Université de Strasbourg;;domaine public;;;0.0;
http://cdm21057.contentdm.oclc.org/cdm/ref/collection/coll13/id/199461;Leçons de botanique , faites au Jardin royal de Montpellier;monographies;IMBERT, Fleury;;En Hollande, aux dépens des libraires, M. DCC. LXII. ¤ Bibliothèques de l'Université de Strasbourg;1762;;Botanique ¤ Étude et enseignement ¤ Montpellier (Hérault);Bibliothèques de l'Université de Strasbourg;;domaine public;;;0.0;Numérisé dans le cadre du programme E-Books on Demand (EOD)
http://cdm21057.contentdm.oclc.org/cdm/ref/collection/coll13/id/126552;Archives de la flore d'Europe, recueil botanique (1). 1872;monographies;SCHULTZ, Friedrich Wilhelm;;Chez l'auteur, à Weissenburg en Alsace (Wissembourg). Avril 1872, imprimerie F.C. Wentzel ¤ Bibliothèques de l'Université de Strasbourg;1872;;Botanique ¤ Europe;Bibliothèques de l'Université de Strasbourg;;domaine public;;;0.0;Numérisé dans le cadre du programme eBooks on Demand (EOD)
